eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
900	29	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:18	23.0	1	1	0	0
900	29	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:17	27.0	1	1	0	0
900	29	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:14	22.0	1	1	0	0
900	29	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:19	23.0	1	1	0	0
900	29	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:16	28.0	1	1	0	0
900	30	COK2	CI	32.8505	-115.7284	-	69.13	11.5	2018-11-09T05:57:18	20.0	1	0	0	0
900	30	5056	NP	32.9598	-115.3202	-	64.51	10.8	2018-11-09T05:57:18	21.0	1	0	0	0
900	30	WES	CI	32.759	-115.7316	-	62.1	10.3	2018-11-09T05:57:19	22.0	1	1	0	0
900	30	IMP	CI	32.9015	-115.5607	-	64.91	10.8	2018-11-09T05:57:19	22.0	1	1	0	0
900	30	COA	CI	32.8634	-115.1234	-	54.49	9.1	2018-11-09T05:57:19	23.0	1	1	0	0
900	30	DRE	CI	32.8053	-115.4468	-	50.71	8.5	2018-11-09T05:57:19	24.0	1	1	0	0
900	30	5272	NP	32.7081	-115.0926	-	38.68	6.4	2018-11-09T05:57:18	25.0	1	0	0	0
900	30	EMS	CI	32.7392	-114.9852	-	46.25	7.7	2018-11-09T05:57:19	25.0	1	1	0	0
900	30	YUH2	CI	32.6475	-115.9223	-	70.3	11.7	2018-11-09T05:57:19	21.0	1	1	0	0
900	30	5054	NP	32.6932	-115.3382	-	35.62	5.9	2018-11-09T05:57:19	26.0	1	1	0	0
900	30	AGM	CI	32.8447	-114.7843	-	66.79	11.1	2018-11-09T05:57:19	21.0	1	0	0	0
900	30	5053	NP	32.6695	-115.4925	-	39.58	6.6	2018-11-09T05:57:18	25.0	1	1	0	0
900	30	5058	NP	32.7517	-115.5952	-	52.7	8.8	2018-11-09T05:57:18	23.0	1	1	0	0
900	30	GUVIX	BC	32.3029	-115.076	-	17.91	3.0	2018-11-09T05:57:17	27.0	1	1	0	0
900	30	UABX	BC	32.6316	-115.4447	-	33.55	5.6	2018-11-09T05:57:17	25.0	1	1	0	0
900	30	SNR	CI	32.8619	-115.436	-	56.24	9.4	2018-11-09T05:57:19	23.0	1	1	0	0
900	30	CPX	BC	32.4195	-115.305	-	7.21	1.2	2018-11-09T05:57:16	28.0	1	1	0	0
900	36	OCP	CI	32.7475	-116.0193	-	83.41	13.9	2018-11-09T05:57:19	19.0	1	0	0	0
