eventid	version	sta	net	lat	lon	cluster	dist	tt	time	time check	active	trig	clu	ctrig
143	39	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:49	26.0	1	1	0	0
143	39	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:49	23.0	1	1	0	0
143	39	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:49	24.0	1	1	0	0
143	39	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:44	18.0	1	0	0	0
143	39	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	39	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	40	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:50	27.0	1	1	0	0
143	40	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:48	27.0	1	1	0	0
143	40	BBGB	NC	36.5785	-121.0396	-	32.88	5.5	2018-10-05T13:29:49	25.0	1	1	0	0
143	40	BSG	NC	36.4138	-121.2552	-	36.7	6.1	2018-10-05T13:29:49	25.0	1	1	0	0
143	40	CAO	NC	37.3485	-121.5347	-	70.17	11.7	2018-10-05T13:29:50	20.0	1	0	0	0
143	40	HCBB	NC	36.9309	-121.6619	-	35.13	5.9	2018-10-05T13:29:50	26.0	1	1	0	0
143	40	JAR	NC	36.9872	-122.0608	-	68.97	11.5	2018-10-05T13:29:50	21.0	1	0	0	0
143	40	JLAB	NC	37.1543	-121.7347	-	57.72	9.6	2018-10-05T13:29:50	22.0	1	1	0	0
143	40	PACP	BK	37.008	-121.287	-	30.99	5.2	2018-10-05T13:29:50	27.0	1	1	0	0
143	40	MHC	BK	37.3416	-121.6426	-	72.25	12.0	2018-10-05T13:29:50	20.0	1	1	0	0
143	40	HAST	BK	36.3887	-121.5514	-	42.33	7.1	2018-10-05T13:29:50	25.0	1	1	0	0
143	40	SAO	BK	36.764	-121.4472	-	9.03	1.5	2018-10-05T13:29:50	30.0	1	1	0	0
143	40	BSR	NC	36.6674	-121.5203	-	16.68	2.8	2018-10-05T13:29:49	28.0	1	1	0	0
143	40	HTU	NC	36.8268	-121.6435	-	27.85	4.6	2018-10-05T13:29:50	27.0	1	1	0	0
143	40	BPRB	NC	36.4072	-121.7307	-	49.62	8.3	2018-10-05T13:29:50	24.0	1	1	0	0
143	40	HLP	NC	37.0413	-121.6319	-	42.2	7.0	2018-10-05T13:29:49	24.0	1	1	0	0
143	40	CCOB	NC	37.259	-121.6731	-	64.9	10.8	2018-10-05T13:29:44	15.0	1	0	0	0
143	40	JELB	NC	36.9274	-121.8276	-	47.39	7.9	2018-10-05T13:29:44	18.0	1	0	0	0
143	40	BJOB	NC	36.6109	-121.3147	-	14.14	2.4	2018-10-05T13:29:47	27.0	1	1	0	0
143	40	HMOB	NC	36.5993	-121.9181	-	52.6	8.8	2018-10-05T13:29:44	17.0	1	0	0	0
143	41	HCRB	NC	36.9553	-121.582	-	31.93	5.3	2018-10-05T13:29:50	27.0	1	1	0	0
143	41	1865	NP	36.8831	-121.3908	-	16.88	2.8	2018-10-05T13:29:48	27.0	1	1	0	0
