eventid	version	update	order	sta	chan	net	loc	lat	lon	trigger time	rsmp	tsmp	log taup	taup snr	dsmp	log pd	pd snr	assoc	tpmag	utpm	pdmag	updm	uch	ukm	upd	ups	utp	uts	tel	tsec	distkm	azimuth	TF	tterr	azerror	incid	plen	sps
143	3	2	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	62	62	-0.5563062	51853.67	28	-2.38656	348593.4	MULTISTA	1.517	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	3	1	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	62	62	-0.5514605	46409.24	28	-2.428661	485357.0	MULTISTA	1.549	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	4	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.037	-1.0	0.0	100	100.0
143	4	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.057	-1.0	0.0	100	100.0
143	4	6	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	203	56	-0.4578787	172942.1	27	-2.964038	103329.0	MULTISTA	2.173	1	3.431	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	-0.019	-1.0	0.0	138	100.0
143	4	2	6	1865	HNZ	NP	--	36.8831	-121.3908	2018-10-05T13:29:41.270	186	123	-0.5586621	15414.83	52	-1.830575	188678.6	NEAR_SRC	1.501	1	4.832	1	1	1	1	1	1	1	0	0.0	16.9	348.42	0	-0.08	-1.0	0.0	200	200.0
143	4	3	5	PACP	HHZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	162	70	-0.5536683	13753.1	28	-2.38656	348593.4	MULTISTA	1.535	1	4.512	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	4	1	4	PACP	HNZ	BK	00	37.008	-121.287	2018-10-05T13:29:43.338	62	62	-0.5514605	46409.24	28	-2.428661	485357.0	MULTISTA	1.549	1	4.461	1	1	1	1	1	1	1	0	0.0	31.0	10.92	0	0.097	-1.0	0.0	100	100.0
143	5	4	1	SAO	HNZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.088	487	120	-0.30538	3675330.0	260	-1.89848	19859920.0	MULTISTA	3.188	1	4.374	1	1	1	1	1	1	1	0	0.0	9.0	291.36	0	-0.037	-1.0	0.0	100	100.0
143	5	4	2	SAO	HHZ	BK	00	36.764	-121.4472	2018-10-05T13:29:40.108	485	206	-0.3425431	112604.1	247	-1.875756	-1.0	MULTISTA	2.941	1	4.402	0	1	1	1	0	1	1	0	0.0	9.0	291.36	0	-0.057	-1.0	0.0	100	100.0
143	5	6	3	BSR	HNZ	NC	--	36.6674	-121.5203	2018-10-05T13:29:41.180	203	56	-0.4578787	172942.1	27	-2.964038	103329.0	MULTISTA	2.173	1	3.431	1	1	1	1	1	1	1	0	0.0	16.7	243.64	0	-0.019	-1.0	0.0	138	100.0
